Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year
27.0,27.0,PHO,Bogdan BogdanoviÄ,,9.0,511,14507,7250,1709,1643,.436,.382,.846,28.4,14.2,3.3,3.2,25.0,.083,0.1,7.8,2014
28.0,28.0,LAC,C.J. Wilcox,Washington,3.0,66,376,132,31,30,.370,.333,.813,5.7,2.0,0.5,0.5,0.1,.007,-4.3,-0.2,2014
29.0,29.0,OKC,Josh Huestis,Stanford,3.0,76,1068,187,180,23,.346,.312,.240,14.1,2.5,2.4,0.3,0.7,.030,-3.5,-0.4,2014
30.0,30.0,SAS,Kyle Anderson,UCLA,12.0,718,15393,4902,3077,1992,.478,.340,.715,21.4,6.8,4.3,2.8,39.5,.123,1.7,14.5,2014
31.0,31.0,MIL,Damien Inglis,,1.0,20,156,36,31,10,.351,.231,.875,7.8,1.8,1.6,0.5,-0.1,-.024,-5.6,-0.1,2014
32.0,32.0,PHI,K.J. McDaniels,Clemson,3.0,148,2092,782,324,95,.412,.290,.776,14.1,5.3,2.2,0.6,1.3,.030,-2.8,-0.4,2014
33.0,33.0,CLE,Joe Harris,Virginia,10.0,504,12298,5185,1521,790,.479,.436,.771,24.4,10.3,3.0,1.6,23.1,.090,-0.7,4.1,2014
34.0,34.0,NYK,Cleanthony Early,Wichita State,2.0,56,801,241,123,42,.346,.263,.750,14.3,4.3,2.2,0.8,-0.6,-.039,-5.9,-0.8,2014
35.0,35.0,UTA,Jarnell Stokes,Tennessee,3.0,28,151,67,40,7,.581,,.531,5.4,2.4,1.4,0.3,0.6,.202,0.1,0.1,2014
36.0,36.0,MIL,Johnny O'Bryant,LSU,4.0,147,1684,509,352,69,.402,.360,.663,11.5,3.5,2.4,0.5,0.2,.006,-6.2,-1.8,2014
37.0,37.0,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,,,,,,2014
38.0,38.0,DET,Spencer Dinwiddie,Colorado,11.0,621,17219,8078,1851,3153,.414,.333,.796,27.7,13.0,3.0,5.1,36.0,.100,-0.1,8.1,2014
