Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year
3.0,3.0,BOS,Jaylen Brown,California,10.0,618,18946,11849,3291,1650,.479,.359,.728,30.7,19.2,5.3,2.7,41.8,.106,0.4,11.4,2016
4.0,4.0,PHO,Dragan Bender,,4.0,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-3.9,-1.9,2016
5.0,5.0,MIN,Kris Dunn,Providence,10.0,421,9857,3217,1390,1651,.438,.328,.736,23.4,7.6,3.3,3.9,12.1,.059,-1.2,2.1,2016
6.0,6.0,NOP,Buddy Hield,Oklahoma,10.0,730,20447,10838,2960,1799,.432,.396,.858,28.0,14.8,4.1,2.5,28.0,.066,0.2,11.4,2016
7.0,7.0,DEN,Jamal Murray,Kentucky,9.0,548,17208,9900,2085,2582,.456,.381,.872,31.4,18.1,3.8,4.7,39.5,.110,1.0,12.9,2016
8.0,8.0,SAC,Marquese Chriss,Washington,6.0,292,5338,2206,1366,298,.456,.290,.667,18.3,7.6,4.7,1.0,6.5,.058,-2.4,-0.5,2016
9.0,9.0,TOR,Jakob Poeltl,Utah,10.0,605,13574,5424,4228,1100,.632,.429,.555,22.4,9.0,7.0,1.8,45.2,.160,1.2,11.0,2016
10.0,10.0,MIL,Thon Maker,,5.0,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1,2016
11.0,11.0,ORL,Domantas Sabonis,Gonzaga,10.0,657,20264,10590,7015,3203,.559,.344,.729,30.8,16.1,10.7,4.9,70.4,.167,3.3,27.3,2016
12.0,12.0,UTA,Taurean Prince,Baylor,10.0,590,14571,5794,2104,1013,.428,.384,.812,24.7,9.8,3.6,1.7,15.2,.050,-2.1,-0.2,2016
13.0,13.0,PHO,Georgios Papagiannis,,2.0,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2,2016
14.0,14.0,CHI,Denzel Valentine,Michigan State,5.0,256,4817,1795,857,466,.394,.360,.787,18.8,7.0,3.3,1.8,4.5,.044,-1.9,0.2,2016
15.0,15.0,DEN,Juancho HernangÃ³mez,,7.0,339,5269,1711,1131,216,.428,.342,.676,15.5,5.0,3.3,0.6,8.7,.080,-1.9,0.1,2016
16.0,16.0,BOS,Guerschon Yabusele,,4.0,156,2497,971,530,183,.482,.366,.707,16.0,6.2,3.4,1.2,5.1,.099,-1.4,0.4,2016
17.0,17.0,MEM,Wade Baldwin,Vanderbilt,3.0,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5,2016
18.0,18.0,DET,Henry Ellenson,Marquette,5.0,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.023,-3.7,-0.3,2016
19.0,19.0,DEN,Malik Beasley,Florida State,9.0,578,13739,6738,1612,789,.426,.391,.769,23.8,11.7,2.8,1.4,20.1,.070,-0.9,3.7,2016
20.0,20.0,IND,Caris LeVert,Michigan,10.0,534,14749,7368,1998,2140,.438,.346,.734,27.6,13.8,3.7,4.0,24.3,.079,-0.2,6.6,2016
21.0,21.0,ATL,DeAndre' Bembry,Saint Joseph's,6.0,296,5670,1750,950,533,.474,.283,.611,19.2,5.9,3.2,1.8,4.4,.038,-2.3,-0.4,2016
22.0,22.0,CHO,Malachi Richardson,Syracuse,3.0,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-.009,-6.1,-0.7,2016
23.0,23.0,BOS,Ante Å½iÅ¾iÄ,,3.0,113,1517,674,446,64,.581,,.711,13.4,6.0,3.9,0.6,3.5,.110,-2.6,-0.2,2016
24.0,24.0,PHI,TimothÃ© Luwawu-Cabarrot,,6.0,328,5254,1937,656,293,.391,.335,.829,16.0,5.9,2.0,0.9,4.7,.043,-4.0,-2.7,2016
25.0,25.0,LAC,Brice Johnson,UNC,2.0,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0,2016
26.0,26.0,PHI,Furkan Korkmaz,,7.0,328,5447,2244,646,391,.406,.356,.761,16.6,6.8,2.0,1.2,7.6,.067,-2.0,0.1,2016
27.0,27.0,TOR,Pascal Siakam,New Mexico State,10.0,642,20091,11649,4275,2323,.497,.340,.759,31.3,18.1,6.7,3.6,56.2,.134,2.0,20.1,2016
28.0,28.0,PHO,Skal LabissiÃ¨re,Kentucky,5.0,152,2607,1074,665,153,.492,.360,.748,17.2,7.1,4.4,1.0,4.4,.081,-2.3,-0.2,2016
29.0,29.0,SAS,Dejounte Murray,Washington,8.0,503,14745,7803,2925,2718,.453,.340,.790,29.3,15.5,5.8,5.4,26.2,.085,1.4,12.6,2016
30.0,30.0,GSW,Damian Jones,Vanderbilt,8.0,279,3782,1366,869,193,.656,.351,.715,13.6,4.9,3.1,0.7,11.3,.143,-1.0,1.0,2016
31.0,31.0,BOS,Deyonta Davis,Michigan State,3.0,107,1299,454,346,47,.599,.000,.635,12.1,4.2,3.2,0.4,3.6,.131,-2.1,0.0,2016
32.0,32.0,LAL,Ivica Zubac,,10.0,598,13875,6177,4893,824,.616,.083,.727,23.2,10.3,8.2,1.4,52.6,.182,0.8,10.0,2016
33.0,33.0,LAC,Cheick Diallo,Kansas,5.0,183,2186,958,759,78,.596,.286,.774,11.9,5.2,4.1,0.4,6.3,.139,-1.4,0.3,2016
34.0,34.0,PHO,Tyler Ulis,Kentucky,3.0,133,2782,998,223,537,.403,.280,.808,20.9,7.5,1.7,4.0,0.5,.008,-3.6,-1.1,2016
35.0,35.0,BOS,Rade Zagorac,,,,,,,,,,,,,,,,,,,2016
36.0,36.0,MIL,Malcolm Brogdon,Virginia,9.0,463,13481,7077,1917,2156,.463,.388,.874,29.1,15.3,4.1,4.7,33.4,.119,1.3,11.2,2016
37.0,37.0,HOU,Chinanu Onuaku,Louisville,2.0,6,74,18,14,4,.583,,1.000,12.3,3.0,2.3,0.7,0.1,.043,-5.4,-0.1,2016
38.0,38.0,MIL,Patrick McCaw,UNLV,5.0,199,3373,760,319,270,.420,.305,.785,16.9,3.8,1.6,1.4,4.4,.062,-2.8,-0.6,2016
39.0,39.0,NOP,David Michineau,,,,,,,,,,,,,,,,,,,2016
40.0,40.0,NOP,Diamond Stone,Maryland,1.0,7,24,10,6,0,.231,,1.000,3.4,1.4,0.9,0.0,-0.1,-.211,-20.8,-0.1,2016
41.0,41.0,ORL,Stephen Zimmerman,UNLV,1.0,19,108,23,35,4,.323,,.600,5.7,1.2,1.8,0.2,0.0,-.005,-8.3,-0.2,2016
42.0,42.0,UTA,Isaiah Whitehead,Seton Hall,2.0,89,1823,643,210,212,.411,.305,.788,20.5,7.2,2.4,2.4,-0.9,-.025,-5.0,-1.4,2016
43.0,43.0,HOU,Zhou Qi,,2.0,19,125,24,22,2,.212,.105,.667,6.6,1.3,1.2,0.1,-0.2,-.093,-9.6,-0.2,2016
44.0,44.0,ATL,IsaÃ¯a Cordinier,,,,,,,,,,,,,,,,,,,2016
45.0,45.0,BOS,Demetrius Jackson,Notre Dame,3.0,26,136,48,19,17,.486,.286,.667,5.2,1.8,0.7,0.7,0.2,.087,-0.5,0.1,2016
46.0,46.0,DAL,A.J. Hammons,Purdue,1.0,22,163,48,36,4,.405,.500,.450,7.4,2.2,1.6,0.2,0.0,-.001,-6.6,-0.2,2016
47.0,47.0,ORL,Jake Layman,Maryland,6.0,243,3099,1175,417,127,.460,.300,.719,12.8,4.8,1.7,0.5,3.8,.059,-2.3,-0.2,2016
48.0,48.0,CHI,Paul Zipser,,2.0,98,1667,458,256,82,.371,.335,.769,17.0,4.7,2.6,0.8,0.0,-.001,-5.2,-1.4,2016
49.0,49.0,DET,Michael Gbinije,Syracuse,1.0,9,32,4,3,2,.100,.000,1.000,3.6,0.4,0.3,0.2,-0.1,-.136,-12.1,-0.1,2016
50.0,50.0,IND,Georges Niang,Iowa State,9.0,544,9494,4046,1354,534,.445,.399,.852,17.5,7.4,2.5,1.0,15.9,.080,-1.7,0.7,2016
51.0,51.0,BOS,Ben Bentil,Providence,1.0,3,10,0,2,0,.000,.000,,3.3,0.0,0.7,0.0,-0.1,-.473,-25.9,-0.1,2016
52.0,52.0,UTA,Joel Bolomboy,Weber State,2.0,18,91,31,27,2,.545,.200,.500,5.1,1.7,1.5,0.1,0.3,.132,-0.1,0.0,2016
53.0,53.0,DEN,Petr Cornelie,,1.0,13,38,14,14,3,.333,.125,.750,2.9,1.1,1.1,0.2,0.0,-.015,-8.8,-0.1,2016
54.0,54.0,ATL,Kay Felder,Oakland,2.0,58,526,223,59,78,.364,.268,.754,9.1,3.8,1.0,1.3,-0.4,-.041,-4.7,-0.4,2016
55.0,55.0,BRK,Marcus Paige,UNC,1.0,5,28,12,4,3,.286,.250,1.000,5.6,2.4,0.8,0.6,0.0,-.006,-8.8,0.0,2016
56.0,56.0,DEN,Daniel Hamilton,UConn,2.0,25,232,69,52,30,.394,.357,.500,9.3,2.8,2.1,1.2,0.0,.000,-3.3,-0.1,2016
57.0,57.0,MEM,Wang Zhelin,,,,,,,,,,,,,,,,,,,2016
58.0,58.0,BOS,Abdel Nader,Iowa State,5.0,202,2583,926,376,110,.428,.357,.718,12.8,4.6,1.9,0.5,2.8,.052,-2.6,-0.4,2016
59.0,59.0,SAC,Isaiah Cousins,Oklahoma,,,,,,,,,,,,,,,,,,2016
60.0,60.0,UTA,Tyrone Wallace,California,4.0,112,1714,566,236,127,.422,.207,.656,15.3,5.1,2.1,1.1,0.1,.003,-5.2,-1.4,2016
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2016
1.0,1.0,PHI,Markelle Fultz,Washington,8.0,255,6123,2656,817,1111,.470,.280,.732,24.0,10.4,3.2,4.4,8.4,.066,-1.2,1.2,2017
2.0,2.0,LAL,Lonzo Ball,UCLA,7.0,299,9240,3338,1614,1742,.396,.361,.602,30.9,11.2,5.4,5.8,13.0,.067,0.9,6.8,2017
3.0,3.0,BOS,Jayson Tatum,Duke,8.0,585,20185,13784,4293,2243,.459,.370,.840,34.5,23.6,7.3,3.8,65.5,.156,3.8,29.4,2017
4.0,4.0,PHO,Josh Jackson,Kansas,5.0,291,6718,3276,1159,534,.416,.292,.680,23.1,11.3,4.0,1.8,-1.7,-.012,-3.8,-3.1,2017
5.0,5.0,SAC,De'Aaron Fox,Kentucky,9.0,537,17865,11535,2101,3299,.470,.331,.747,33.3,21.5,3.9,6.1,34.4,.093,0.8,12.8,2017
6.0,6.0,ORL,Jonathan Isaac,Florida State,7.0,290,5773,2131,1398,223,.441,.320,.747,19.9,7.3,4.8,0.8,14.1,.118,0.9,4.2,2017
7.0,7.0,MIN,Lauri Markkanen,Arizona,9.0,464,14460,8629,3286,686,.456,.372,.868,31.2,18.6,7.1,1.5,34.9,.116,1.2,11.4,2017
8.0,8.0,NYK,Frank Ntilikina,,7.0,321,5454,1535,563,693,.369,.320,.762,17.0,4.8,1.8,2.2,0.3,.003,-4.4,-3.4,2017
9.0,9.0,DAL,Dennis Smith Jr.,NC State,7.0,326,7601,3160,967,1381,.407,.298,.674,23.3,9.7,3.0,4.2,2.3,.015,-2.1,-0.2,2017
10.0,10.0,SAC,Zach Collins,Gonzaga,7.0,378,7137,3013,1827,685,.482,.331,.767,18.9,8.0,4.8,1.8,11.9,.080,-1.5,0.9,2017
11.0,11.0,CHO,Malik Monk,Kentucky,9.0,534,12210,6588,1394,1680,.434,.352,.849,22.9,12.3,2.6,3.1,15.4,.060,-1.0,3.0,2017
12.0,12.0,DET,Luke Kennard,Duke,9.0,473,11050,4620,1328,1071,.458,.438,.882,23.4,9.8,2.8,2.3,24.1,.105,-0.1,5.4,2017
13.0,13.0,DEN,Donovan Mitchell,Louisville,9.0,552,18686,13722,2384,2602,.450,.367,.840,33.9,24.9,4.3,4.7,53.8,.138,3.6,26.3,2017
14.0,14.0,MIA,Bam Adebayo,Kentucky,9.0,575,17597,9082,5089,2067,.535,.317,.758,30.6,15.8,8.9,3.6,58.1,.158,2.5,20.1,2017
15.0,15.0,POR,Justin Jackson,UNC,7.0,280,4886,1676,654,285,.423,.319,.796,17.5,6.0,2.3,1.0,5.3,.052,-2.8,-1.0,2017
16.0,16.0,CHI,Justin Patton,Creighton,4.0,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.4,.066,-2.8,-0.1,2017
17.0,17.0,MIL,D.J. Wilson,Michigan,6.0,148,1818,657,454,110,.422,.331,.618,12.3,4.4,3.1,0.7,2.9,.077,-2.4,-0.2,2017
18.0,18.0,IND,T.J. Leaf,UCLA,4.0,146,1238,477,283,43,.492,.341,.585,8.5,3.3,1.9,0.3,2.7,.104,-1.8,0.1,2017
19.0,19.0,ATL,John Collins,Wake Forest,9.0,486,14094,7720,3872,706,.545,.362,.792,29.0,15.9,8.0,1.5,39.3,.134,0.5,9.0,2017
20.0,20.0,POR,Harry Giles,Duke,4.0,165,1935,888,573,180,.508,.244,.661,11.7,5.4,3.5,1.1,3.1,.076,-2.5,-0.2,2017
21.0,21.0,OKC,Terrance Ferguson,,4.0,204,4000,924,263,144,.404,.334,.753,19.6,4.5,1.3,0.7,4.4,.053,-4.0,-2.1,2017
22.0,22.0,BRK,Jarrett Allen,Texas,9.0,581,16356,7487,5338,971,.640,.158,.713,28.2,12.9,9.2,1.7,68.0,.200,2.4,18.0,2017
23.0,23.0,TOR,OG Anunoby,Indiana,9.0,504,15227,6523,2211,857,.474,.376,.761,30.2,12.9,4.4,1.7,32.3,.102,0.3,8.7,2017
24.0,24.0,UTA,Tyler Lydon,Syracuse,2.0,26,96,23,18,6,.500,.400,.333,3.7,0.9,0.7,0.2,0.2,.084,-4.3,-0.1,2017
25.0,25.0,ORL,AnÅ¾ejs PaseÄÅiks,,2.0,28,443,156,108,19,.521,.000,.586,15.8,5.6,3.9,0.7,0.4,.038,-6.2,-0.5,2017
26.0,26.0,POR,Caleb Swanigan,Purdue,3.0,75,655,169,218,56,.438,.118,.614,8.7,2.3,2.9,0.7,-0.2,-.015,-6.2,-0.7,2017
27.0,27.0,BRK,Kyle Kuzma,Utah,9.0,555,17217,9396,3475,1470,.451,.333,.722,31.0,16.9,6.3,2.6,14.9,.042,-1.6,1.8,2017
28.0,28.0,LAL,Tony Bradley,UNC,8.0,207,2311,932,819,107,.629,.438,.669,11.2,4.5,4.0,0.5,8.4,.175,-0.1,1.1,2017
29.0,29.0,SAS,Derrick White,Colorado,9.0,509,14574,6638,1868,2145,.444,.366,.851,28.6,13.0,3.7,4.2,40.7,.134,2.2,15.5,2017
30.0,30.0,UTA,Josh Hart,Villanova,9.0,542,16435,5583,3784,1744,.471,.342,.753,30.3,10.3,7.0,3.2,37.3,.109,0.5,10.3,2017
31.0,31.0,CHO,Frank Jackson,Duke,5.0,214,3873,1816,392,222,.421,.332,.786,18.1,8.5,1.8,1.0,2.5,.031,-3.9,-1.9,2017
32.0,32.0,PHO,Davon Reed,Miami (FL),4.0,122,1299,373,212,92,.408,.385,.667,10.6,3.1,1.7,0.8,1.5,.054,-2.9,-0.3,2017
33.0,33.0,ORL,Wes Iwundu,Kansas State,5.0,226,3827,989,555,208,.408,.292,.798,16.9,4.4,2.5,0.9,4.2,.053,-3.9,-1.8,2017
34.0,34.0,SAC,Frank Mason III,Kansas,4.0,103,1616,695,204,272,.396,.301,.755,15.7,6.7,2.0,2.6,1.2,.035,-2.7,-0.3,2017
35.0,35.0,ORL,Ivan Rabb,California,2.0,85,1237,485,364,86,.555,.200,.743,14.6,5.7,4.3,1.0,3.2,.125,-1.7,0.1,2017
36.0,36.0,PHI,Jonah Bolden,,2.0,51,686,217,174,40,.486,.340,.484,13.5,4.3,3.4,0.8,1.4,.098,-1.3,0.1,2017
37.0,37.0,BOS,Semi Ojeleye,SMU,5.0,284,4111,975,613,126,.384,.344,.717,14.5,3.4,2.2,0.4,5.2,.061,-3.4,-1.5,2017
38.0,38.0,CHI,Jordan Bell,Oregon,5.0,161,1937,593,497,201,.552,.200,.636,12.0,3.7,3.1,1.2,4.9,.121,0.2,1.1,2017
39.0,39.0,PHI,Jawun Evans,Oklahoma State,2.0,56,843,237,96,110,.345,.263,.776,15.1,4.2,1.7,2.0,-0.4,-.022,-5.4,-0.7,2017
40.0,40.0,NOP,Dwayne Bacon,Florida State,4.0,207,4012,1503,537,230,.402,.314,.780,19.4,7.3,2.6,1.1,0.8,.010,-5.1,-3.1,2017
41.0,41.0,ATL,Tyler Dorsey,Oregon,3.0,107,1680,710,245,135,.392,.351,.669,15.7,6.6,2.3,1.3,1.1,.031,-3.0,-0.5,2017
42.0,42.0,UTA,Thomas Bryant,Indiana,9.0,342,5971,2978,1719,327,.580,.338,.774,17.5,8.7,5.0,1.0,20.5,.164,1.0,4.4,2017
43.0,43.0,HOU,Isaiah Hartenstein,,8.0,394,7802,2778,2587,806,.598,.245,.685,19.8,7.1,6.6,2.0,30.3,.186,2.2,8.3,2017
44.0,44.0,NYK,Damyean Dotson,Oregon,5.0,213,4242,1594,532,315,.417,.345,.711,19.9,7.5,2.5,1.5,3.0,.034,-2.8,-0.9,2017
45.0,45.0,HOU,Dillon Brooks,Oregon,9.0,501,14768,7158,1622,1001,.420,.354,.807,29.5,14.3,3.2,2.0,15.3,.050,-3.3,-4.9,2017
46.0,46.0,PHI,Sterling Brown,SMU,6.0,268,4458,1431,891,268,.419,.363,.796,16.6,5.3,3.3,1.0,6.6,.071,-2.1,-0.1,2017
47.0,47.0,IND,Ike Anigbogu,UCLA,2.0,14,36,13,12,1,.333,,.833,2.6,0.9,0.9,0.1,0.0,.057,-1.1,0.0,2017
48.0,48.0,MIL,Sindarius Thornwell,South Carolina,4.0,160,1721,401,206,111,.407,.340,.672,10.8,2.5,1.3,0.7,1.1,.032,-3.1,-0.5,2017
49.0,49.0,DEN,Vlatko ÄanÄar,,5.0,143,1527,485,251,123,.472,.354,.847,10.7,3.4,1.8,0.9,2.4,.076,-2.5,-0.2,2017
50.0,50.0,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,,2017
51.0,51.0,DEN,Monte Morris,Iowa State,9.0,426,9873,3998,996,1519,.473,.388,.824,23.2,9.4,2.3,3.6,24.7,.120,0.2,5.5,2017
52.0,52.0,NOP,Edmond Sumner,Xavier,5.0,161,2256,997,244,182,.470,.341,.811,14.0,6.2,1.5,1.1,3.2,.069,-3.0,-0.6,2017
53.0,53.0,BOS,Kadeem Allen,Arizona,3.0,47,640,258,71,109,.435,.349,.757,13.6,5.5,1.5,2.3,1.0,.075,-1.2,0.1,2017
54.0,54.0,PHO,Alec Peters,Valparaiso,1.0,20,225,82,37,12,.378,.310,.800,11.3,4.1,1.9,0.6,0.3,.055,-2.8,0.0,2017
55.0,55.0,UTA,Nigel Williams-Goss,Gonzaga,1.0,10,50,14,6,6,.313,.286,1.000,5.0,1.4,0.6,0.6,0.0,.017,-3.9,0.0,2017
56.0,56.0,BOS,Jabari Bird,California,1.0,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0,2017
57.0,57.0,BRK,Sasha Vezenkov,,1.0,42,511,225,96,19,.440,.375,.800,12.2,5.4,2.3,0.5,1.0,.098,-0.9,0.1,2017
58.0,58.0,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,,2017
59.0,59.0,SAS,Jaron Blossomgame,Clemson,1.0,27,439,114,98,13,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,.030,-3.8,-0.2,2017
60.0,60.0,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,,2017
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2017
1.0,1.0,PHO,Deandre Ayton,Arizona,8.0,412,12697,6773,4290,662,.593,.230,.751,30.8,16.4,10.4,1.6,38.7,.146,0.7,8.6,2018
2.0,2.0,SAC,Marvin Bagley III,Duke,8.0,302,6664,3573,1944,269,.521,.293,.691,22.1,11.8,6.4,0.9,13.1,.094,-1.5,0.7,2018
3.0,3.0,ATL,Luka DonÄiÄ,,8.0,461,16117,13259,3975,3799,.468,.349,.752,35.0,28.8,8.6,8.2,59.1,.176,7.7,39.4,2018
4.0,4.0,MEM,Jaren Jackson Jr.,Michigan State,8.0,422,12074,7786,2337,624,.466,.351,.793,28.6,18.5,5.5,1.5,29.2,.116,0.8,8.7,2018
5.0,5.0,DAL,Trae Young,Oklahoma,8.0,488,16761,12309,1697,4787,.432,.351,.873,34.3,25.2,3.5,9.8,43.6,.125,2.6,19.3,2018
6.0,6.0,ORL,Mo Bamba,Texas,7.0,364,6115,2461,1980,306,.477,.356,.682,16.8,6.8,5.4,0.8,15.6,.123,0.0,3.1,2018
7.0,7.0,CHI,Wendell Carter Jr.,Duke,8.0,398,10901,4756,3288,792,.510,.322,.732,27.4,11.9,8.3,2.0,28.5,.125,-0.3,4.7,2018
8.0,8.0,CLE,Collin Sexton,Alabama,8.0,420,12499,7860,1175,1567,.470,.388,.839,29.8,18.7,2.8,3.7,16.4,.063,-1.4,1.9,2018
9.0,9.0,NYK,Kevin Knox,Kentucky,7.0,320,5606,2322,893,233,.393,.340,.723,17.5,7.3,2.8,0.7,0.9,.008,-4.4,-3.4,2018
10.0,10.0,PHI,Mikal Bridges,Villanova,8.0,569,18970,8414,2264,1580,.485,.373,.842,33.3,14.8,4.0,2.8,43.8,.111,0.8,13.5,2018
11.0,11.0,CHO,Shai Gilgeous-Alexander,Kentucky,8.0,477,15790,11773,2284,2463,.502,.357,.863,33.1,24.7,4.8,5.2,64.3,.195,5.8,31.0,2018
12.0,12.0,LAC,Miles Bridges,Michigan State,7.0,438,13563,6951,2725,1190,.460,.341,.829,31.0,15.9,6.2,2.7,22.5,.080,0.0,6.8,2018
13.0,13.0,LAC,Jerome Robinson,Boston College,4.0,135,1685,545,214,136,.361,.297,.711,12.5,4.0,1.6,1.0,-0.2,-.004,-4.8,-1.2,2018
14.0,14.0,DEN,Michael Porter Jr.,Missouri,7.0,358,10460,5911,2309,527,.499,.404,.801,29.2,16.5,6.4,1.5,27.2,.125,0.8,7.3,2018
15.0,15.0,WAS,Troy Brown Jr.,Oregon,6.0,356,6778,2196,1288,508,.423,.351,.783,19.0,6.2,3.6,1.4,8.6,.061,-1.8,0.4,2018
16.0,16.0,PHO,Zhaire Smith,Texas Tech,2.0,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.1,2018
17.0,17.0,MIL,Donte DiVincenzo,Villanova,8.0,430,11035,4666,1838,1247,.427,.380,.778,25.7,10.9,4.3,2.9,25.1,.109,1.1,8.7,2018
18.0,18.0,SAS,Lonnie Walker IV,Miami (FL),7.0,342,7025,3418,791,518,.422,.356,.795,20.5,10.0,2.3,1.5,4.9,.033,-2.5,-1.0,2018
19.0,19.0,ATL,Kevin Huerter,Maryland,8.0,495,13909,5788,1691,1450,.443,.374,.765,28.1,11.7,3.4,2.9,19.8,.068,-0.9,3.8,2018
20.0,20.0,MIN,Josh Okogie,Georgia Tech,8.0,428,8223,2737,1257,495,.409,.305,.749,19.2,6.4,2.9,1.2,12.5,.073,-1.7,0.6,2018
21.0,21.0,UTA,Grayson Allen,Duke,8.0,416,10644,4490,1256,868,.452,.416,.854,25.6,10.8,3.0,2.1,24.0,.108,0.1,5.7,2018
22.0,22.0,CHI,Chandler Hutchison,Boise State,4.0,103,1790,558,376,79,.442,.309,.643,17.4,5.4,3.7,0.8,1.1,.030,-3.9,-0.9,2018
23.0,23.0,IND,Aaron Holiday,UCLA,8.0,455,7424,2930,713,907,.422,.383,.852,16.3,6.4,1.6,2.0,10.3,.067,-1.9,0.2,2018
24.0,24.0,POR,Anfernee Simons,,8.0,404,10788,6036,1006,1303,.430,.382,.879,26.7,14.9,2.5,3.2,13.4,.060,-1.1,2.3,2018
25.0,25.0,LAL,Moritz Wagner,Michigan,7.0,363,6051,3328,1436,439,.525,.324,.807,16.7,9.2,4.0,1.2,16.9,.134,0.2,3.4,2018
26.0,26.0,PHI,Landry Shamet,Wichita State,8.0,411,8677,3443,689,612,.414,.386,.833,21.1,8.4,1.7,1.5,13.9,.077,-2.0,0.1,2018
27.0,27.0,BOS,Robert Williams,Texas A&M,8.0,244,4862,1728,1636,331,.721,.200,.671,19.9,7.1,6.7,1.4,24.2,.239,4.6,8.1,2018
28.0,28.0,GSW,Jacob Evans,Cincinnati,2.0,59,622,168,66,54,.337,.315,.833,10.5,2.8,1.1,0.9,-0.6,-.047,-7.4,-0.8,2018
29.0,29.0,BRK,DÅ¾anan Musa,,2.0,49,526,211,91,45,.376,.227,.726,10.7,4.3,1.9,0.9,0.0,.003,-4.6,-0.4,2018
30.0,30.0,ATL,Omari Spellman,Villanova,2.0,95,1691,642,413,94,.417,.366,.766,17.8,6.8,4.3,1.0,2.4,.068,-1.5,0.2,2018
31.0,31.0,PHO,Elie Okobo,,2.0,108,1677,523,188,242,.395,.315,.737,15.5,4.8,1.7,2.2,0.5,.014,-4.1,-0.9,2018
32.0,32.0,MEM,Jevon Carter,West Virginia,8.0,416,6335,2177,694,658,.395,.382,.801,15.2,5.2,1.7,1.6,8.7,.066,-1.4,0.9,2018
33.0,33.0,DAL,Jalen Brunson,Villanova,8.0,498,14613,9129,1588,2521,.488,.389,.825,29.3,18.3,3.2,5.1,46.7,.153,2.3,16.0,2018
34.0,34.0,ATL,Devonte' Graham,Kansas,6.0,336,8359,3733,758,1448,.371,.354,.812,24.9,11.1,2.3,4.3,12.7,.073,-0.5,3.2,2018
35.0,35.0,ORL,Melvin Frazier,Tulane,3.0,32,290,87,28,5,.340,.209,.533,9.1,2.7,0.9,0.2,-0.4,-.062,-10.0,-0.6,2018
36.0,36.0,NYK,Mitchell Robinson,,8.0,344,8238,2663,2702,219,.698,,.521,23.9,7.7,7.9,0.6,35.7,.208,2.1,8.6,2018
37.0,37.0,SAC,Gary Trent Jr.,Duke,8.0,430,12113,5851,1007,629,.422,.390,.820,28.2,13.6,2.3,1.5,19.3,.077,-1.2,2.4,2018
38.0,38.0,PHI,Khyri Thomas,Creighton,3.0,39,409,160,39,36,.388,.316,.750,10.5,4.1,1.0,0.9,0.5,.058,-2.7,-0.1,2018
39.0,39.0,PHI,Isaac Bonga,,4.0,143,1871,439,320,118,.432,.300,.759,13.1,3.1,2.2,0.8,1.7,.044,-3.6,-0.7,2018
40.0,40.0,BRK,Rodions Kurucs,,3.0,131,2103,780,406,113,.444,.329,.739,16.1,6.0,3.1,0.9,2.3,.052,-2.8,-0.4,2018
41.0,41.0,ORL,Jarred Vanderbilt,Kentucky,8.0,323,6432,1872,2004,457,.556,.288,.646,19.9,5.8,6.2,1.4,17.1,.128,0.0,3.2,2018
42.0,42.0,DET,Bruce Brown,Miami (FL),8.0,470,11668,4125,1985,1133,.474,.338,.770,24.8,8.8,4.2,2.4,20.4,.084,-1.5,1.4,2018
43.0,43.0,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,,2018
44.0,44.0,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,,2018
45.0,45.0,BRK,Hamidou Diallo,Kentucky,6.0,265,4918,2272,1009,283,.495,.274,.623,18.6,8.6,3.8,1.1,6.2,.060,-2.1,-0.1,2018
46.0,46.0,HOU,De'Anthony Melton,USC,7.0,356,8147,3231,1316,988,.410,.369,.779,22.9,9.1,3.7,2.8,14.3,.084,0.6,5.3,2018
